seed,domain,exact_local_utility,hungarian_utility,percent_of_exact_local,selected_ues,allowed_ues,demand_copies,physical_slots,fully_selected_before_repair,partially_selected_before_repair,repair_drops,refills,swap_used
8,1,73.05295756503654,73.05295756503654,100.0,5,12,44,20,4,1,0,1,True
8,2,70.87882161234488,64.59317382140873,91.13183931680746,6,12,39,20,6,1,0,0,True
8,3,89.61851923257139,84.36529407272127,94.13823704650002,5,12,48,20,6,0,1,0,True
8,4,63.019947585905484,63.019947585905484,100.0,6,10,36,20,6,1,0,0,False
8,5,65.40172154306705,62.87471935017272,96.13618398220557,6,10,35,20,5,1,0,1,False
8,6,49.65476959347661,49.65476959347661,100.00000000000001,3,12,55,20,3,1,0,0,True
8,7,67.45275131991819,62.3259670741069,92.39944383959117,5,12,46,20,6,0,1,0,True
8,8,68.00810088177336,68.00810088177336,100.0,5,12,54,20,5,1,0,0,False
8,9,66.15417502045791,63.44001290525968,95.89721719852317,5,10,42,20,4,1,0,1,False
9,0,61.62579474658975,61.62579474658975,100.0,6,10,37,20,6,1,0,0,False
9,1,74.16601626917456,74.16601626917456,100.0,5,12,40,20,5,1,0,0,True
9,2,77.33287507244594,77.33287507244594,100.0,5,12,52,20,4,1,0,1,False
9,3,77.74472596313132,74.75673068113814,96.15665854503087,6,12,47,20,5,1,0,1,False
9,4,69.91866221152378,69.91866221152378,100.0,5,10,41,20,5,1,0,0,False
9,5,69.7352455748956,69.7352455748956,100.0,5,10,43,20,5,0,0,0,False
9,6,73.45704018282089,73.45704018282089,100.0,5,12,48,20,4,1,0,1,False
9,7,83.59457329123272,83.18350170500558,99.50825565578879,4,12,56,20,3,1,0,1,False
9,8,79.5020585580273,79.23505183663886,99.66415118522552,5,12,42,20,5,1,0,0,False
9,9,79.06256694938688,79.06256694938688,100.0,4,10,47,20,4,1,1,1,False
10,0,72.92784302165104,72.92784302165104,100.0,5,10,39,20,4,1,0,1,True
10,1,88.23389642275585,88.23389642275585,100.0,5,12,48,20,4,0,1,2,False
10,2,71.69056755835739,71.69056755835739,100.0,5,12,48,20,3,1,0,2,True
10,3,75.49879234028047,72.79508265672065,96.41887028950882,5,12,43,20,5,1,0,0,True
