seed,domain,exact_local_utility,hungarian_utility,percent_of_exact_local,selected_ues,allowed_ues,demand_copies,physical_slots,fully_selected_before_repair,partially_selected_before_repair,repair_drops,refills,swap_used
27,9,72.24202068603208,67.52212889103257,93.46655623669162,5,10,40,20,4,1,1,2,True
28,0,71.88485355468885,69.0166351219934,96.00998222732227,6,10,35,20,6,1,0,0,False
28,1,65.1078186446099,65.1078186446099,100.0,4,12,56,20,4,0,1,1,False
28,2,80.05385251924791,80.05385251924791,100.0,4,12,55,20,3,1,0,1,False
28,3,77.66407185186074,77.66407185186074,100.0,4,12,50,20,4,1,0,0,False
28,4,76.05779624251606,76.05779624251606,100.0,5,10,40,20,4,1,0,1,False
28,5,61.36666163532075,60.89620024821206,99.23335997987887,6,10,38,20,5,1,0,1,False
28,6,72.54916844300435,72.54916844300435,100.0,5,12,51,20,4,1,0,1,False
28,7,73.497943450854,73.497943450854,100.0,5,12,50,20,4,1,0,1,False
28,8,65.19017843542352,63.00625987606784,96.64992701083179,4,12,49,20,5,0,1,0,False
28,9,78.41496036048311,78.41496036048311,100.0,5,10,38,20,5,1,0,0,False
29,0,63.05525681804538,61.44660452836933,97.44882128651376,6,10,38,20,5,1,0,1,True
29,1,93.65863949539175,93.65863949539175,100.00000000000001,6,12,42,20,6,0,0,0,False
29,2,67.61224513637374,67.61224513637374,100.0,5,12,40,20,5,0,0,0,False
29,3,66.45074689180346,64.76014146820486,97.45585188628311,4,12,48,20,4,1,0,0,True
29,4,75.83140815730539,73.2183673976042,96.5541444855136,6,10,31,20,6,1,0,0,True
29,5,57.19812334867136,57.19812334867136,100.0,5,10,38,20,5,0,0,0,False
29,6,76.30822883296396,75.88695432445759,99.44793043299626,5,12,50,20,4,0,1,2,False
29,7,71.43873944942553,67.50577945742009,94.49463971184746,6,12,38,20,6,0,1,1,False
29,8,78.81858353115986,72.12719637103109,91.51039404624238,4,12,49,20,5,0,1,0,True
29,9,93.66922502176632,93.66922502176632,100.0,5,10,45,20,4,1,0,1,False
30,0,72.19005819456902,72.19005819456902,100.0,4,10,45,20,4,1,0,0,False
30,1,74.5849177438551,74.5849177438551,100.0,6,12,48,20,6,0,0,0,False
30,2,72.91311110030675,72.91311110030675,100.0,5,12,53,20,5,0,0,0,False
