seed,method,L_position,centralized_utility,utility,normalized_utility,selected_ues,used_local_reexecutions,total_triggered_local_reexecutions
14,O-RAN negotiation-based ConMit,7.0,709.0138905576255,661.9196554733293,93.35778385847173,51,6,7
14,O-RAN negotiation-based ConMit,8.0,709.0138905576255,696.8303092868364,98.2816159975079,55,7,7
14,O-RAN negotiation-based ConMit,9.0,709.0138905576255,696.8303092868364,98.2816159975079,55,7,7
15,Quantum-classical hybrid,1.0,717.784516389327,510.5890535331873,71.13403004311162,36,0,0
15,Quantum-classical hybrid,1.5,717.784516389327,651.5972596337868,90.77895172655965,43,0,0
15,O-RAN fixed-priority ConMit,1.0,717.784516389327,504.24654809341075,70.25040754987629,34,0,5
15,O-RAN fixed-priority ConMit,1.5,717.784516389327,623.5244559303344,86.867916720585,40,0,5
15,O-RAN negotiation-based ConMit,1.0,717.784516389327,504.24654809341075,70.25040754987629,34,0,5
15,O-RAN negotiation-based ConMit,2.0,717.784516389327,623.5244559303344,86.867916720585,40,1,5
15,O-RAN negotiation-based ConMit,3.0,717.784516389327,631.8041730686361,88.02142685478952,41,2,5
15,O-RAN negotiation-based ConMit,4.0,717.784516389327,653.534471332312,91.04883936752884,42,3,5
15,O-RAN negotiation-based ConMit,5.0,717.784516389327,672.9924022419248,93.7596711652795,45,4,5
15,O-RAN negotiation-based ConMit,6.0,717.784516389327,707.8393944151833,98.61446969848686,48,5,5
15,O-RAN negotiation-based ConMit,7.0,717.784516389327,707.8393944151833,98.61446969848686,48,5,5
15,O-RAN negotiation-based ConMit,8.0,717.784516389327,707.8393944151833,98.61446969848686,48,5,5
15,O-RAN negotiation-based ConMit,9.0,717.784516389327,707.8393944151833,98.61446969848686,48,5,5
16,Quantum-classical hybrid,1.0,696.517994083357,554.5070651827172,79.61130507654272,43,0,0
16,Quantum-classical hybrid,1.5,696.517994083357,691.4407999201337,99.27106058905125,53,0,0
16,O-RAN fixed-priority ConMit,1.0,696.517994083357,479.64934789021726,68.86388463250734,37,0,6
16,O-RAN fixed-priority ConMit,1.5,696.517994083357,594.5325139157721,85.35781113569054,46,0,6
16,O-RAN negotiation-based ConMit,1.0,696.517994083357,479.64934789021726,68.86388463250734,37,0,6
16,O-RAN negotiation-based ConMit,2.0,696.517994083357,598.6027214361501,85.9421761564011,47,1,6
16,O-RAN negotiation-based ConMit,3.0,696.517994083357,616.3340888010598,88.48789177545626,48,2,6
16,O-RAN negotiation-based ConMit,4.0,696.517994083357,618.3548134992236,88.77800986505754,48,3,6
16,O-RAN negotiation-based ConMit,5.0,696.517994083357,641.03092144265,92.0336483605524,49,4,6
16,O-RAN negotiation-based ConMit,6.0,696.517994083357,651.8384516376879,93.58529961534316,50,5,6
