round,UE1_d1,UE1_d2,UE1_d3,UE1_r1,UE1_r2,UE1_r3,UE1_s1,UE1_s2,UE1_s3,UE1_asgn,UE1_near,UE1_ok,UE2_d1,UE2_d2,UE2_d3,UE2_r1,UE2_r2,UE2_r3,UE2_s1,UE2_s2,UE2_s3,UE2_asgn,UE2_near,UE2_ok,UE3_d1,UE3_d2,UE3_d3,UE3_r1,UE3_r2,UE3_r3,UE3_s1,UE3_s2,UE3_s3,UE3_asgn,UE3_near,UE3_ok,UE4_d1,UE4_d2,UE4_d3,UE4_r1,UE4_r2,UE4_r3,UE4_s1,UE4_s2,UE4_s3,UE4_asgn,UE4_near,UE4_ok
40,127.3,172.3,153.9,12.23,0.0,4.76,36.8,0.0,14.2,O-RU1,O-RU1,OK,176.2,83.9,224.3,9.64,15.28,0.0,29.0,46.0,0.0,O-RU2,O-RU2,OK,122.1,237.2,138.9,5.6,2.93,5.68,16.8,8.2,17.0,O-RU3,O-RU1,MISS,123.0,225.2,136.9,5.75,0.0,5.51,17.2,0.0,16.5,O-RU1,O-RU1,OK
41,127.3,172.3,153.9,6.34,0.0,10.69,19.0,0.0,32.2,O-RU3,O-RU1,MISS,176.2,83.9,224.3,3.42,16.69,0.0,9.9,50.2,0.0,O-RU2,O-RU2,OK,122.1,237.2,138.9,5.17,3.12,6.16,15.5,8.9,18.5,O-RU3,O-RU1,MISS,123.0,225.2,136.9,5.51,0.0,5.63,16.5,0.0,16.9,O-RU1,O-RU1,OK
42,111.5,190.7,158.5,6.55,0.0,4.63,19.7,0.0,13.7,O-RU1,O-RU1,OK,209.0,52.7,226.8,3.2,17.7,0.0,9.1,53.3,0.0,O-RU2,O-RU2,OK,145.3,217.6,115.0,4.92,3.24,6.45,14.7,9.3,19.4,O-RU3,O-RU3,OK,135.0,199.5,129.9,5.35,0.0,5.68,16.0,0.0,17.0,O-RU3,O-RU3,OK
43,111.5,190.7,158.5,6.75,0.0,4.57,20.3,0.0,13.6,O-RU1,O-RU1,OK,209.0,52.7,226.8,3.0,18.83,0.0,8.5,56.7,0.0,O-RU2,O-RU2,OK,145.3,217.6,115.0,4.68,3.35,6.73,13.9,9.6,20.2,O-RU3,O-RU3,OK,135.0,199.5,129.9,5.18,0.0,5.7,15.5,0.0,17.1,O-RU3,O-RU3,OK
44,111.5,190.7,158.5,7.1,0.0,10.42,21.3,0.0,31.4,O-RU3,O-RU1,MISS,209.0,52.7,226.8,2.69,20.88,2.84,7.4,62.9,7.9,O-RU2,O-RU2,OK,145.3,217.6,115.0,4.29,3.53,13.6,12.7,10.2,40.9,O-RU3,O-RU3,OK,135.0,199.5,129.9,4.9,0.0,5.7,14.6,0.0,17.1,O-RU1,O-RU3,MISS
45,97.2,209.5,165.4,7.3,8.91,0.0,22.0,26.8,0.0,O-RU2,O-RU1,MISS,241.9,26.9,234.0,2.52,21.73,2.78,6.8,65.4,7.7,O-RU2,O-RU2,OK,171.0,200.9,95.4,4.07,3.63,7.45,12.0,10.6,22.4,O-RU3,O-RU3,OK,151.1,174.3,128.4,10.74,0.0,5.68,32.3,0.0,17.0,O-RU1,O-RU3,MISS
46,97.2,209.5,165.4,7.5,0.0,10.24,22.6,0.0,30.8,O-RU3,O-RU1,MISS,241.9,26.9,234.0,2.36,21.67,2.72,6.2,65.2,7.5,O-RU2,O-RU2,OK,171.0,200.9,95.4,0.0,9.55,7.68,0.0,28.7,23.1,O-RU2,O-RU3,MISS,151.1,174.3,128.4,0.0,4.63,11.8,0.0,13.8,35.5,O-RU3,O-RU3,OK
47,97.2,209.5,165.4,14.3,0.0,4.17,43.0,0.0,12.3,O-RU1,O-RU1,OK,241.9,26.9,234.0,2.3,21.38,2.69,5.9,64.4,7.4,O-RU2,O-RU2,OK,171.0,200.9,95.4,0.0,3.87,14.46,0.0,11.4,43.5,O-RU3,O-RU3,OK,151.1,174.3,128.4,0.0,11.08,5.51,0.0,33.4,16.5,O-RU2,O-RU3,MISS
48,85.4,228.5,174.5,7.99,0.0,4.08,24.0,0.0,12.0,O-RU1,O-RU1,OK,265.5,24.7,241.8,2.32,19.94,2.83,6.0,60.0,7.9,O-RU2,O-RU2,OK,198.2,187.8,82.9,0.0,3.95,8.04,0.0,11.6,24.2,O-RU3,O-RU3,OK,170.0,149.9,132.7,0.0,5.26,5.42,0.0,15.7,16.2,O-RU3,O-RU3,OK
49,85.4,228.5,174.5,8.14,0.0,4.0,24.5,0.0,11.8,O-RU1,O-RU1,OK,265.5,24.7,241.8,2.34,11.53,3.0,6.1,34.7,8.4,O-RU2,O-RU2,OK,198.2,187.8,82.9,0.0,3.99,14.59,0.0,11.7,43.9,O-RU3,O-RU3,OK,170.0,149.9,132.7,0.0,5.51,5.32,0.0,16.5,15.9,O-RU2,O-RU3,MISS
50,77.1,247.7,185.3,8.35,0.0,3.85,25.1,0.0,11.3,O-RU1,O-RU1,OK,261.9,49.9,216.7,2.37,9.91,3.3,6.2,29.8,9.5,O-RU2,O-RU2,OK,209.5,184.9,79.7,0.0,3.84,8.13,0.0,11.2,24.5,O-RU3,O-RU3,OK,191.0,126.6,142.2,0.0,12.17,5.11,0.0,36.6,15.3,O-RU2,O-RU2,OK
